fingerprint,rec_id,asof,strategy_version,universe,horizon_d,symbol,weight,buy_price,mature_date,exit_price,actual_ret,holding_days,holding_months,rank,universe_n,hit_top25,regime,scored,source
REC-20220405-0047,2022-04-05_63,2022-04-05,AEGIS Core v2.2 (2026-06-22),nifty200,63,MRF,0.0691,67756.0,2022-07-06,73230.2,8.08,63,3.0,27.0,221.0,1.0,Neutral,1,historical
REC-20220405-0048,2022-04-05_63,2022-04-05,AEGIS Core v2.2 (2026-06-22),nifty200,63,TCS,0.077,3814.8,2022-07-06,3260.75,-14.52,63,3.0,127.0,221.0,0.0,Neutral,1,historical
REC-20220405-0049,2022-04-05_63,2022-04-05,AEGIS Core v2.2 (2026-06-22),nifty200,63,AIAENG,0.08,1701.8,2022-07-06,2350.15,38.1,63,3.0,1.0,221.0,1.0,Neutral,1,historical
REC-20220405-0050,2022-04-05_63,2022-04-05,AEGIS Core v2.2 (2026-06-22),nifty200,63,IRFC,0.0793,22.15,2022-07-06,19.95,-9.93,63,3.0,99.0,221.0,0.0,Neutral,1,historical
REC-20220405-0051,2022-04-05_63,2022-04-05,AEGIS Core v2.2 (2026-06-22),nifty200,63,ICICIGI,0.0488,1351.85,2022-07-06,1232.25,-8.85,63,3.0,91.0,221.0,0.0,Neutral,1,historical
REC-20220405-0052,2022-04-05_63,2022-04-05,AEGIS Core v2.2 (2026-06-22),nifty200,63,DRREDDY,0.0576,865.98,2022-07-06,878.0,1.39,63,3.0,37.0,221.0,1.0,Neutral,1,historical
REC-20220405-0053,2022-04-05_63,2022-04-05,AEGIS Core v2.2 (2026-06-22),nifty200,63,SUNPHARMA,0.0566,929.1,2022-07-06,837.7,-9.84,63,3.0,97.0,221.0,0.0,Neutral,1,historical
REC-20220405-0054,2022-04-05_63,2022-04-05,AEGIS Core v2.2 (2026-06-22),nifty200,63,INFY,0.0642,1861.1,2022-07-06,1491.65,-19.85,63,3.0,164.0,221.0,0.0,Neutral,1,historical
REC-20220405-0055,2022-04-05_63,2022-04-05,AEGIS Core v2.2 (2026-06-22),nifty200,63,BAJAJ-AUTO,0.048,3809.7,2022-07-06,3773.05,-0.96,63,3.0,50.0,221.0,1.0,Neutral,1,historical
REC-20220405-0056,2022-04-05_63,2022-04-05,AEGIS Core v2.2 (2026-06-22),nifty200,63,PETRONET,0.0529,199.6,2022-07-06,220.95,10.7,63,3.0,21.0,221.0,1.0,Neutral,1,historical
REC-20220405-0057,2022-04-05_63,2022-04-05,AEGIS Core v2.2 (2026-06-22),nifty200,63,BHARTIARTL,0.0805,766.6,2022-07-06,693.95,-9.48,63,3.0,92.0,221.0,0.0,Neutral,1,historical
REC-20220405-0058,2022-04-05_63,2022-04-05,AEGIS Core v2.2 (2026-06-22),nifty200,63,LT,0.0496,1836.05,2022-07-06,1556.15,-15.24,63,3.0,133.0,221.0,0.0,Neutral,1,historical
REC-20220405-0059,2022-04-05_63,2022-04-05,AEGIS Core v2.2 (2026-06-22),nifty200,63,COROMANDEL,0.0557,824.05,2022-07-06,979.3,18.84,63,3.0,8.0,221.0,1.0,Neutral,1,historical
REC-20220706-0060,2022-07-06_63,2022-07-06,AEGIS Core v2.2 (2026-06-22),nifty200,63,IRFC,0.0722,19.95,2022-10-07,21.35,7.02,63,3.0,134.0,223.0,0.0,Weak,1,historical
REC-20220706-0061,2022-07-06_63,2022-07-06,AEGIS Core v2.2 (2026-06-22),nifty200,63,COLPAL,0.0912,1569.15,2022-10-07,1581.2,0.77,63,3.0,176.0,223.0,0.0,Weak,1,historical
REC-20220706-0062,2022-07-06_63,2022-07-06,AEGIS Core v2.2 (2026-06-22),nifty200,63,NESTLEIND,0.0855,919.44,2022-10-07,966.05,5.07,63,3.0,145.0,223.0,0.0,Weak,1,historical
REC-20220706-0063,2022-07-06_63,2022-07-06,AEGIS Core v2.2 (2026-06-22),nifty200,63,ALKEM,0.1199,3078.05,2022-10-07,3200.3,3.97,63,3.0,155.0,223.0,0.0,Weak,1,historical
REC-20220706-0064,2022-07-06_63,2022-07-06,AEGIS Core v2.2 (2026-06-22),nifty200,63,SJVN,0.0444,27.1,2022-10-07,32.7,20.66,63,3.0,56.0,223.0,1.0,Weak,1,historical
REC-20220706-0065,2022-07-06_63,2022-07-06,AEGIS Core v2.2 (2026-06-22),nifty200,63,RELAXO,0.0547,979.75,2022-10-07,1010.7,3.16,63,3.0,160.0,223.0,0.0,Weak,1,historical
REC-20220706-0066,2022-07-06_63,2022-07-06,AEGIS Core v2.2 (2026-06-22),nifty200,63,MRF,0.0588,73230.2,2022-10-07,82769.6,13.03,63,3.0,98.0,223.0,0.0,Weak,1,historical
REC-20220706-0067,2022-07-06_63,2022-07-06,AEGIS Core v2.2 (2026-06-22),nifty200,63,PFC,0.0415,85.28,2022-10-07,83.96,-1.55,63,3.0,190.0,223.0,0.0,Weak,1,historical
REC-20220706-0068,2022-07-06_63,2022-07-06,AEGIS Core v2.2 (2026-06-22),nifty200,63,SUNPHARMA,0.0706,837.7,2022-10-07,955.15,14.02,63,3.0,94.0,223.0,0.0,Weak,1,historical
REC-20220706-0069,2022-07-06_63,2022-07-06,AEGIS Core v2.2 (2026-06-22),nifty200,63,TCS,0.0481,3260.75,2022-10-07,3064.9,-6.01,63,3.0,206.0,223.0,0.0,Weak,1,historical
REC-20220706-0070,2022-07-06_63,2022-07-06,AEGIS Core v2.2 (2026-06-22),nifty200,63,BHARTIARTL,0.0508,693.95,2022-10-07,793.1,14.29,63,3.0,91.0,223.0,0.0,Weak,1,historical
REC-20220706-0071,2022-07-06_63,2022-07-06,AEGIS Core v2.2 (2026-06-22),nifty200,63,SUPREMEIND,0.0911,1771.95,2022-10-07,2014.85,13.71,63,3.0,95.0,223.0,0.0,Weak,1,historical
REC-20220706-0072,2022-07-06_63,2022-07-06,AEGIS Core v2.2 (2026-06-22),nifty200,63,CUMMINSIND,0.0604,1103.85,2022-10-07,1238.75,12.22,63,3.0,103.0,223.0,0.0,Weak,1,historical
REC-20220706-0073,2022-07-06_63,2022-07-06,AEGIS Core v2.2 (2026-06-22),nifty200,63,POWERGRID,0.0784,157.84,2022-10-07,157.05,-0.5,63,3.0,182.0,223.0,0.0,Weak,1,historical
REC-20220706-0074,2022-07-06_63,2022-07-06,AEGIS Core v2.2 (2026-06-22),nifty200,63,EXIDEIND,0.0323,141.8,2022-10-07,157.2,10.86,63,3.0,108.0,223.0,0.0,Weak,1,historical
REC-20221007-0075,2022-10-07_63,2022-10-07,AEGIS Core v2.2 (2026-06-22),nifty200,63,IRFC,0.1217,21.35,2023-01-06,32.7,53.16,63,3.0,4.0,223.0,1.0,Weak,1,historical
REC-20221007-0076,2022-10-07_63,2022-10-07,AEGIS Core v2.2 (2026-06-22),nifty200,63,NESTLEIND,0.0724,966.05,2023-01-06,994.27,2.92,63,3.0,93.0,223.0,0.0,Weak,1,historical
REC-20221007-0077,2022-10-07_63,2022-10-07,AEGIS Core v2.2 (2026-06-22),nifty200,63,PFC,0.0636,83.96,2023-01-06,125.72,49.74,63,3.0,5.0,223.0,1.0,Weak,1,historical
REC-20221007-0078,2022-10-07_63,2022-10-07,AEGIS Core v2.2 (2026-06-22),nifty200,63,ITC,0.0762,292.73,2023-01-06,293.56,0.28,63,3.0,112.0,223.0,0.0,Weak,1,historical
REC-20221007-0079,2022-10-07_63,2022-10-07,AEGIS Core v2.2 (2026-06-22),nifty200,63,RELAXO,0.0606,1010.7,2023-01-06,896.4,-11.31,63,3.0,183.0,223.0,0.0,Weak,1,historical
REC-20221007-0080,2022-10-07_63,2022-10-07,AEGIS Core v2.2 (2026-06-22),nifty200,63,ALKEM,0.0911,3200.3,2023-01-06,3031.35,-5.28,63,3.0,152.0,223.0,0.0,Weak,1,historical
