stop_pct,asof,symbol,reason,exit_ret_pct,hold_to_mature_pct,hold_minus_exit_pp,post_exit_max_recovery_pct,false_exit
0.05,2024-10-18,KOTAKBANK,DD -5.8% at bar 2,-5.518291868202341,2.6429010448678665,8.161192913070208,8.63785496096845,True
0.05,2025-01-20,SUNPHARMA,DD -7.0% at bar 6,-2.4124841838886595,1.4424293547026623,3.8549135385913216,3.950211772841228,False
0.05,2025-01-20,ITC,DD -6.9% at bar 15,-2.3989033584647017,-1.7477724468814204,0.6511309115832813,1.4981273408239737,False
0.05,2025-01-20,NESTLEIND,DD -5.7% at bar 17,-0.914182475158075,9.900632339656722,10.814814814814797,10.923710889067163,True
0.05,2025-01-20,ICICIBANK,DD -5.4% at bar 29,-2.169593251956689,13.767792692323289,15.937385944279978,18.089869010114402,True
0.05,2025-01-20,MRF,DD -5.4% at bar 17,-3.860252437457496,14.178646694777763,18.038899132235258,18.763206259201247,True
0.05,2025-01-20,DRREDDY,DD -6.0% at bar 4,-8.039313548585236,-7.82047836603063,0.21883518255460555,3.5694902517430016,False
0.05,2025-01-20,RELIANCE,DD -5.8% at bar 5,-5.44256769696273,-0.29491746141178415,5.1476502355509455,5.484445884640299,True
0.05,2025-01-20,PIDILITIND,DD -5.2% at bar 20,-0.2173788274457055,10.353832467644267,10.571211295089972,10.5942409318043,True
0.05,2025-01-20,BHARTIARTL,DD -6.7% at bar 26,0.015233220607500837,12.457727812814174,12.442494592206673,15.09077616668697,True
0.05,2025-01-20,TITAN,DD -5.2% at bar 14,1.2580382881218177,0.010348141030376496,-1.2476901470914412,0.0,False
0.05,2025-01-20,TCS,DD -5.9% at bar 19,-3.5055667271568067,-16.582470940212865,-13.076904213056057,0.0,False
0.05,2025-01-20,APOLLOHOSP,DD -9.0% at bar 17,-5.99187417506655,5.584108187026694,11.575982362093244,12.31381038661552,True
0.05,2025-01-20,ULTRACEMCO,DD -5.1% at bar 26,3.1973419800554277,14.443571196626642,11.246229216571216,10.897789614333986,True
0.05,2025-01-20,RATNAMANI,DD -6.3% at bar 6,-3.166028332023217,-9.6854041578164,-6.519375825793183,0.43697537047913126,False
0.05,2025-04-24,ITC,DD -5.1% at bar 23,-2.627601441692829,-3.5112196256249324,-0.8836181839321036,1.9701492537313348,False
0.05,2025-04-24,NESTLEIND,DD -5.8% at bar 39,-2.991944764096652,0.7931941476245349,3.785138911721187,4.753431621759008,False
0.05,2025-04-24,PIDILITIND,DD -5.1% at bar 41,-2.408659472110256,-5.119620335457028,-2.710960863346772,3.7371348632714962,False
